[Running] python -u "c:\Users\lukas\OneDrive\Documents\MAIN AI PROJECT\Connect4-Python\new\main.py"
pygame 2.5.2 (SDL 2.28.3, Python 3.12.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
After 1000 games - Mr.Q: 48.4%, Random: 49.6%, Draws: 2.1% , epsilon 0.9896113336390602
After 2000 games - Mr.Q: 50.1%, Random: 48.2%, Draws: 1.7% , epsilon 0.9792385388717819
After 3000 games - Mr.Q: 47.9%, Random: 50.9%, Draws: 1.2% , epsilon 0.9689444307190711
After 4000 games - Mr.Q: 47.6%, Random: 50.1%, Draws: 2.3% , epsilon 0.9587479916470666
After 5000 games - Mr.Q: 49.1%, Random: 48.6%, Draws: 2.3% , epsilon 0.9485677852715458
After 6000 games - Mr.Q: 48.9%, Random: 48.8%, Draws: 2.3% , epsilon 0.9386674351754191
After 7000 games - Mr.Q: 52.3%, Random: 45.5%, Draws: 2.2% , epsilon 0.9286716594784428
After 8000 games - Mr.Q: 49.5%, Random: 48.1%, Draws: 2.4% , epsilon 0.9188705351792442
After 9000 games - Mr.Q: 50.7%, Random: 46.7%, Draws: 2.6% , epsilon 0.9092028543537752
After 10000 games - Mr.Q: 49.8%, Random: 47.8%, Draws: 2.4% , epsilon 0.8998402307801031
After 11000 games - Mr.Q: 49.5%, Random: 48.7%, Draws: 1.8% , epsilon 0.890314010145831
After 12000 games - Mr.Q: 52.9%, Random: 45.5%, Draws: 1.6% , epsilon 0.8810657160036711
After 13000 games - Mr.Q: 50.8%, Random: 47.7%, Draws: 1.5% , epsilon 0.8718507146088104
After 14000 games - Mr.Q: 50.3%, Random: 47.2%, Draws: 2.5% , epsilon 0.8626794671555896
After 15000 games - Mr.Q: 48.8%, Random: 48.4%, Draws: 2.8% , epsilon 0.8535696975893603
After 16000 games - Mr.Q: 51.1%, Random: 46.4%, Draws: 2.5% , epsilon 0.844550213988218
After 17000 games - Mr.Q: 52.9%, Random: 44.7%, Draws: 2.4% , epsilon 0.8357580767008996
After 18000 games - Mr.Q: 51.6%, Random: 46.9%, Draws: 1.5% , epsilon 0.82722455197715
After 19000 games - Mr.Q: 52.6%, Random: 45.5%, Draws: 1.9% , epsilon 0.8184891811529355
After 20000 games - Mr.Q: 54.0%, Random: 43.9%, Draws: 2.1% , epsilon 0.809995080031225
After 21000 games - Mr.Q: 53.8%, Random: 44.2%, Draws: 2.0% , epsilon 0.8015394318168975
After 22000 games - Mr.Q: 53.5%, Random: 44.3%, Draws: 2.2% , epsilon 0.7932291637304791
After 23000 games - Mr.Q: 51.9%, Random: 45.7%, Draws: 2.4% , epsilon 0.7850144756639302
After 24000 games - Mr.Q: 54.4%, Random: 44.2%, Draws: 1.4% , epsilon 0.7766487217573773
