
After 1000 games - Mr.Q: 0.8%, Random: 99.3%, Draws: 0.0% , epsilon 0.995098051500455
After 2000 games - Mr.Q: 0.8%, Random: 99.2%, Draws: 0.0% , epsilon 0.9901864651710194
After 3000 games - Mr.Q: 0.8%, Random: 99.2%, Draws: 0.0% , epsilon 0.9852606954217806
After 4000 games - Mr.Q: 1.3%, Random: 98.7%, Draws: 0.0% , epsilon 0.9803535472059651
After 5000 games - Mr.Q: 0.9%, Random: 99.1%, Draws: 0.0% , epsilon 0.9755264427776636
After 6000 games - Mr.Q: 0.5%, Random: 99.5%, Draws: 0.0% , epsilon 0.9707366964667109
After 7000 games - Mr.Q: 1.0%, Random: 99.0%, Draws: 0.0% , epsilon 0.9657888819064037
After 8000 games - Mr.Q: 1.0%, Random: 99.0%, Draws: 0.0% , epsilon 0.9610046609792074
After 9000 games - Mr.Q: 0.5%, Random: 99.4%, Draws: 0.1% , epsilon 0.9562269273620678
After 10000 games - Mr.Q: 0.8%, Random: 99.2%, Draws: 0.0% , epsilon 0.9513587767791583
After 11000 games - Mr.Q: 1.0%, Random: 99.0%, Draws: 0.0% , epsilon 0.946608173049156
After 12000 games - Mr.Q: 0.7%, Random: 99.3%, Draws: 0.0% , epsilon 0.9418455006003771
After 13000 games - Mr.Q: 1.5%, Random: 98.5%, Draws: 0.0% , epsilon 0.9371367785114106
After 14000 games - Mr.Q: 1.3%, Random: 98.7%, Draws: 0.0% , epsilon 0.932219445846308
After 15000 games - Mr.Q: 1.5%, Random: 98.5%, Draws: 0.0% , epsilon 0.9274327093767303
After 16000 games - Mr.Q: 0.5%, Random: 99.5%, Draws: 0.0% , epsilon 0.9226484078800559
After 17000 games - Mr.Q: 1.2%, Random: 98.8%, Draws: 0.0% , epsilon 0.9177575381465236
After 18000 games - Mr.Q: 1.3%, Random: 98.7%, Draws: 0.0% , epsilon 0.913000322174963
After 19000 games - Mr.Q: 1.7%, Random: 98.3%, Draws: 0.0% , epsilon 0.9081724021784933
After 20000 games - Mr.Q: 1.1%, Random: 98.9%, Draws: 0.0% , epsilon 0.9033528482112703
After 21000 games - Mr.Q: 2.2%, Random: 97.8%, Draws: 0.0% , epsilon 0.8985103501029811
After 22000 games - Mr.Q: 2.8%, Random: 97.2%, Draws: 0.0% , epsilon 0.8937215155601371
After 23000 games - Mr.Q: 2.3%, Random: 97.7%, Draws: 0.0% , epsilon 0.8890097653997836
After 24000 games - Mr.Q: 2.2%, Random: 97.8%, Draws: 0.0% , epsilon 0.8842503443141881
After 25000 games - Mr.Q: 1.6%, Random: 98.4%, Draws: 0.0% , epsilon 0.8795216804807481
After 26000 games - Mr.Q: 3.3%, Random: 96.7%, Draws: 0.0% , epsilon 0.8748427991674046
After 27000 games - Mr.Q: 2.4%, Random: 97.6%, Draws: 0.0% , epsilon 0.8701574823279715
After 28000 games - Mr.Q: 2.7%, Random: 97.3%, Draws: 0.0% , epsilon 0.8655734253663412
After 29000 games - Mr.Q: 2.0%, Random: 98.0%, Draws: 0.0% , epsilon 0.8607931262121576
After 30000 games - Mr.Q: 2.6%, Random: 97.4%, Draws: 0.0% , epsilon 0.8561813415763725
After 31000 games - Mr.Q: 3.4%, Random: 96.6%, Draws: 0.0% , epsilon 0.8514682383466099
After 32000 games - Mr.Q: 3.3%, Random: 96.7%, Draws: 0.0% , epsilon 0.8468886278665504
After 33000 games - Mr.Q: 3.3%, Random: 96.7%, Draws: 0.0% , epsilon 0.8421390920619429
After 34000 games - Mr.Q: 2.9%, Random: 97.1%, Draws: 0.0% , epsilon 0.8374547147382919
After 35000 games - Mr.Q: 4.5%, Random: 95.5%, Draws: 0.0% , epsilon 0.8328996673519223
After 36000 games - Mr.Q: 2.5%, Random: 97.5%, Draws: 0.0% , epsilon 0.8283188665646201
After 37000 games - Mr.Q: 3.2%, Random: 96.8%, Draws: 0.0% , epsilon 0.8237130113196959
After 38000 games - Mr.Q: 2.3%, Random: 97.7%, Draws: 0.0% , epsilon 0.8191401390989472
After 39000 games - Mr.Q: 3.7%, Random: 96.3%, Draws: 0.0% , epsilon 0.8145527392596905
After 40000 games - Mr.Q: 3.5%, Random: 96.5%, Draws: 0.0% , epsilon 0.8099796902632124
After 41000 games - Mr.Q: 4.5%, Random: 95.5%, Draws: 0.0% , epsilon 0.8053864068489526
After 42000 games - Mr.Q: 4.6%, Random: 95.4%, Draws: 0.0% , epsilon 0.8008351878647504
After 43000 games - Mr.Q: 6.2%, Random: 93.8%, Draws: 0.0% , epsilon 0.796297743146559
After 44000 games - Mr.Q: 5.3%, Random: 94.7%, Draws: 0.0% , epsilon 0.7917487940081928
After 45000 games - Mr.Q: 5.7%, Random: 94.3%, Draws: 0.0% , epsilon 0.7873014086484733
After 46000 games - Mr.Q: 3.2%, Random: 96.8%, Draws: 0.0% , epsilon 0.7828171599665293
After 47000 games - Mr.Q: 4.7%, Random: 95.3%, Draws: 0.0% , epsilon 0.7783716845239947
After 48000 games - Mr.Q: 5.0%, Random: 95.0%, Draws: 0.0% , epsilon 0.7739708031611304
After 49000 games - Mr.Q: 5.1%, Random: 94.9%, Draws: 0.0% , epsilon 0.7696063482141818
After 50000 games - Mr.Q: 6.0%, Random: 94.0%, Draws: 0.0% , epsilon 0.7651601399132707
After 51000 games - Mr.Q: 6.3%, Random: 93.7%, Draws: 0.0% , epsilon 0.7607129930354057
After 52000 games - Mr.Q: 5.5%, Random: 94.5%, Draws: 0.0% , epsilon 0.7563242144435375
After 53000 games - Mr.Q: 6.4%, Random: 93.6%, Draws: 0.0% , epsilon 0.7519630119021696
After 54000 games - Mr.Q: 5.9%, Random: 94.1%, Draws: 0.0% , epsilon 0.747588081811524
After 55000 games - Mr.Q: 5.1%, Random: 94.9%, Draws: 0.0% , epsilon 0.7433032697220278
After 56000 games - Mr.Q: 6.9%, Random: 93.1%, Draws: 0.0% , epsilon 0.7388915277300974
After 57000 games - Mr.Q: 8.1%, Random: 91.9%, Draws: 0.0% , epsilon 0.734618358901275
After 58000 games - Mr.Q: 7.5%, Random: 92.5%, Draws: 0.0% , epsilon 0.7303333851275849
After 59000 games - Mr.Q: 7.2%, Random: 92.8%, Draws: 0.0% , epsilon 0.7259841037030997
After 60000 games - Mr.Q: 9.3%, Random: 90.7%, Draws: 0.0% , epsilon 0.7217025806763783
After 61000 games - Mr.Q: 7.8%, Random: 92.2%, Draws: 0.0% , epsilon 0.717439133688306
After 62000 games - Mr.Q: 10.1%, Random: 89.9%, Draws: 0.0% , epsilon 0.7132022993521794
After 63000 games - Mr.Q: 7.6%, Random: 92.4%, Draws: 0.0% , epsilon 0.709076987785673
After 64000 games - Mr.Q: 8.4%, Random: 91.6%, Draws: 0.0% , epsilon 0.7048268036649615
After 65000 games - Mr.Q: 11.5%, Random: 88.5%, Draws: 0.0% , epsilon 0.7006525402000138
After 66000 games - Mr.Q: 10.0%, Random: 90.0%, Draws: 0.0% , epsilon 0.6964556377591545
After 67000 games - Mr.Q: 8.9%, Random: 91.1%, Draws: 0.0% , epsilon 0.6922561839113167
After 68000 games - Mr.Q: 9.2%, Random: 90.8%, Draws: 0.0% , epsilon 0.688069666351474
After 69000 games - Mr.Q: 10.1%, Random: 89.9%, Draws: 0.0% , epsilon 0.6839693379437135
After 70000 games - Mr.Q: 11.2%, Random: 88.8%, Draws: 0.0% , epsilon 0.6798370152733316
After 71000 games - Mr.Q: 9.8%, Random: 90.2%, Draws: 0.0% , epsilon 0.6756979002034282
After 72000 games - Mr.Q: 11.7%, Random: 88.3%, Draws: 0.0% , epsilon 0.6715913731617884
After 73000 games - Mr.Q: 9.4%, Random: 90.6%, Draws: 0.0% , epsilon 0.6674557372430718
After 74000 games - Mr.Q: 11.9%, Random: 88.1%, Draws: 0.0% , epsilon 0.6634112429189921
After 75000 games - Mr.Q: 12.6%, Random: 87.4%, Draws: 0.0% , epsilon 0.6593398259508324
After 76000 games - Mr.Q: 12.0%, Random: 88.0%, Draws: 0.0% , epsilon 0.6552042817636647
After 77000 games - Mr.Q: 12.3%, Random: 87.7%, Draws: 0.0% , epsilon 0.6512073259225752
After 78000 games - Mr.Q: 12.1%, Random: 87.9%, Draws: 0.0% , epsilon 0.647230869392681
After 79000 games - Mr.Q: 12.6%, Random: 87.4%, Draws: 0.0% , epsilon 0.6432902733600593
After 80000 games - Mr.Q: 14.4%, Random: 85.6%, Draws: 0.0% , epsilon 0.6393998840965297
After 81000 games - Mr.Q: 13.1%, Random: 86.9%, Draws: 0.0% , epsilon 0.635527938268051
After 82000 games - Mr.Q: 12.6%, Random: 87.4%, Draws: 0.0% , epsilon 0.6316345916993338
After 83000 games - Mr.Q: 14.6%, Random: 85.4%, Draws: 0.0% , epsilon 0.6277820462940286
After 84000 games - Mr.Q: 12.5%, Random: 87.5%, Draws: 0.0% , epsilon 0.6238325874508887
After 85000 games - Mr.Q: 16.2%, Random: 83.8%, Draws: 0.0% , epsilon 0.6199780287633219
After 86000 games - Mr.Q: 14.5%, Random: 85.5%, Draws: 0.0% , epsilon 0.6161971967347787
After 87000 games - Mr.Q: 15.7%, Random: 84.3%, Draws: 0.0% , epsilon 0.6124081878466036
After 88000 games - Mr.Q: 16.1%, Random: 83.9%, Draws: 0.0% , epsilon 0.6086570852519319
After 89000 games - Mr.Q: 17.4%, Random: 82.6%, Draws: 0.0% , epsilon 0.6048158475925132
After 90000 games - Mr.Q: 17.2%, Random: 82.8%, Draws: 0.0% , epsilon 0.6010932162759544
After 91000 games - Mr.Q: 14.1%, Random: 85.9%, Draws: 0.0% , epsilon 0.5973534736486699
After 92000 games - Mr.Q: 18.5%, Random: 81.5%, Draws: 0.0% , epsilon 0.5936791478305999
After 93000 games - Mr.Q: 17.5%, Random: 82.5%, Draws: 0.0% , epsilon 0.5899288964172476
After 94000 games - Mr.Q: 15.5%, Random: 84.5%, Draws: 0.0% , epsilon 0.5863301413205705
After 95000 games - Mr.Q: 17.8%, Random: 82.2%, Draws: 0.0% , epsilon 0.5826758387028874
After 96000 games - Mr.Q: 19.1%, Random: 80.9%, Draws: 0.0% , epsilon 0.5790518391550844
After 97000 games - Mr.Q: 20.3%, Random: 79.7%, Draws: 0.0% , epsilon 0.5754469266721971
After 98000 games - Mr.Q: 20.6%, Random: 79.4%, Draws: 0.0% , epsilon 0.5718924787881468
After 99000 games - Mr.Q: 21.7%, Random: 78.3%, Draws: 0.0% , epsilon 0.5683855629741015
After 100000 games - Mr.Q: 20.4%, Random: 79.6%, Draws: 0.0% , epsilon 0.5648397108912007
After 101000 games - Mr.Q: 18.3%, Random: 81.7%, Draws: 0.0% , epsilon 0.5613277672391768
After 102000 games - Mr.Q: 19.4%, Random: 80.6%, Draws: 0.0% , epsilon 0.5578164619858834
After 103000 games - Mr.Q: 21.6%, Random: 78.4%, Draws: 0.0% , epsilon 0.5543315558353742
After 104000 games - Mr.Q: 21.7%, Random: 78.3%, Draws: 0.0% , epsilon 0.5509108398326961
After 105000 games - Mr.Q: 22.7%, Random: 77.3%, Draws: 0.0% , epsilon 0.5474592215508208
After 106000 games - Mr.Q: 21.9%, Random: 78.1%, Draws: 0.0% , epsilon 0.5440161721203093
After 107000 games - Mr.Q: 23.5%, Random: 76.5%, Draws: 0.0% , epsilon 0.5406104540043254
After 108000 games - Mr.Q: 21.8%, Random: 78.2%, Draws: 0.0% , epsilon 0.5372051053729255
After 109000 games - Mr.Q: 22.3%, Random: 77.7%, Draws: 0.0% , epsilon 0.5338201396639439
After 110000 games - Mr.Q: 24.5%, Random: 75.5%, Draws: 0.0% , epsilon 0.5304687034988456
After 111000 games - Mr.Q: 23.3%, Random: 76.7%, Draws: 0.0% , epsilon 0.5270940305811408
After 112000 games - Mr.Q: 26.2%, Random: 73.8%, Draws: 0.0% , epsilon 0.5238461087968436
After 113000 games - Mr.Q: 23.0%, Random: 77.0%, Draws: 0.0% , epsilon 0.5204401794414113
After 114000 games - Mr.Q: 25.9%, Random: 74.1%, Draws: 0.0% , epsilon 0.5171432674860119
After 115000 games - Mr.Q: 25.8%, Random: 74.2%, Draws: 0.0% , epsilon 0.5138621023334349
After 116000 games - Mr.Q: 25.1%, Random: 74.9%, Draws: 0.0% , epsilon 0.5106701807367696
After 117000 games - Mr.Q: 25.1%, Random: 74.9%, Draws: 0.0% , epsilon 0.5074818464911527
After 118000 games - Mr.Q: 25.2%, Random: 74.8%, Draws: 0.0% , epsilon 0.5042624852831469
After 119000 games - Mr.Q: 26.5%, Random: 73.5%, Draws: 0.0% , epsilon 0.5010896030401883
After 120000 games - Mr.Q: 29.9%, Random: 70.1%, Draws: 0.0% , epsilon 0.4979615824358585
After 121000 games - Mr.Q: 26.5%, Random: 73.5%, Draws: 0.0% , epsilon 0.49483378940135603
After 122000 games - Mr.Q: 27.7%, Random: 72.3%, Draws: 0.0% , epsilon 0.4917236757403835
After 123000 games - Mr.Q: 30.2%, Random: 69.8%, Draws: 0.0% , epsilon 0.48861063304997365
After 124000 games - Mr.Q: 28.1%, Random: 71.9%, Draws: 0.0% , epsilon 0.48554740167436267
After 125000 games - Mr.Q: 29.7%, Random: 70.3%, Draws: 0.0% , epsilon 0.4825173673272636
After 126000 games - Mr.Q: 30.3%, Random: 69.7%, Draws: 0.0% , epsilon 0.4795388493077952
After 127000 games - Mr.Q: 31.8%, Random: 68.2%, Draws: 0.0% , epsilon 0.47648626994956345
After 128000 games - Mr.Q: 27.8%, Random: 72.2%, Draws: 0.0% , epsilon 0.47348437121436715
After 129000 games - Mr.Q: 28.5%, Random: 71.4%, Draws: 0.1% , epsilon 0.47053526199938867
After 130000 games - Mr.Q: 28.9%, Random: 71.1%, Draws: 0.0% , epsilon 0.4675273729650217
After 131000 games - Mr.Q: 30.1%, Random: 69.9%, Draws: 0.0% , epsilon 0.4644913312566986
After 132000 games - Mr.Q: 31.0%, Random: 69.0%, Draws: 0.0% , epsilon 0.461532231554107
After 133000 games - Mr.Q: 32.7%, Random: 67.3%, Draws: 0.0% , epsilon 0.45858464574690644
After 134000 games - Mr.Q: 31.4%, Random: 68.6%, Draws: 0.0% , epsilon 0.4557456578582189
After 135000 games - Mr.Q: 30.7%, Random: 69.3%, Draws: 0.0% , epsilon 0.45287216214528964
After 136000 games - Mr.Q: 31.8%, Random: 68.2%, Draws: 0.0% , epsilon 0.4499681847322135
After 137000 games - Mr.Q: 34.2%, Random: 65.8%, Draws: 0.0% , epsilon 0.44710876022443524
After 138000 games - Mr.Q: 32.1%, Random: 67.9%, Draws: 0.0% , epsilon 0.4442270800519486
After 139000 games - Mr.Q: 30.3%, Random: 69.7%, Draws: 0.0% , epsilon 0.4413591177426088
After 140000 games - Mr.Q: 35.9%, Random: 64.1%, Draws: 0.0% , epsilon 0.4385903644497454
After 141000 games - Mr.Q: 34.0%, Random: 66.0%, Draws: 0.0% , epsilon 0.43578842580618515
After 142000 games - Mr.Q: 35.6%, Random: 64.4%, Draws: 0.0% , epsilon 0.432990531448218
After 143000 games - Mr.Q: 35.3%, Random: 64.7%, Draws: 0.0% , epsilon 0.4302768579910702
