Hello from the pygame community. https://www.pygame.org/contribute.html
After 1000 games - Mr.Q: 0.1%, Random: 100.0%, Draws: 0.0% , epsilon 0.9933055052832914
After 2000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9868196253701568
After 3000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9802104259646133
After 4000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9735861009111691
After 5000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9672048002333329
After 6000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.960525239039376
After 7000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.95400628114712
After 8000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9474718739225862
After 9000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9409295301621656
After 10000 games - Mr.Q: 0.0%, Random: 99.9%, Draws: 0.1% , epsilon 0.9342454937555578
After 11000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9275458631260922
After 12000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9210361053780179
After 13000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9145409398642677
After 14000 games - Mr.Q: 0.3%, Random: 99.7%, Draws: 0.0% , epsilon 0.9079462952887668
After 15000 games - Mr.Q: 0.1%, Random: 99.8%, Draws: 0.1% , epsilon 0.9013316014621072
After 16000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.894715887150794
After 17000 games - Mr.Q: 0.3%, Random: 99.7%, Draws: 0.0% , epsilon 0.8882633103785985
After 18000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.8817003120636774
After 19000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8751271694269913
After 20000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8684988039047152
After 21000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8619077140576138
After 22000 games - Mr.Q: 0.0%, Random: 99.8%, Draws: 0.2% , epsilon 0.8552417699127466
After 23000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.8487394060560297
After 24000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.8422351014388757
After 25000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.8357321685891449
After 26000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.8293267154582552
After 27000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.8228658461486722
After 28000 games - Mr.Q: 0.3%, Random: 99.7%, Draws: 0.0% , epsilon 0.8163785670072672
