ello from the pygame community. https://www.pygame.org/contribute.html
After 1000 games - Mr.Q: 0.0%, Random: 100.1%, Draws: 0.0% , epsilon 0.9946364328775377
After 2000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9893095480560398
After 3000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9839255866595137
After 4000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.978594411532258
After 5000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9732921221547233
After 6000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.9680224341000266
After 7000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9627206243366292
After 8000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9573195628355708
After 9000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.95208113255127
After 10000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9468694730933227
After 11000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9415083800907643
After 12000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.9362478571240298
After 13000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9310223125826452
After 14000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9258009367570703
After 15000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9205775433596647
After 16000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.9153296144186892
After 17000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.9100797489391265
After 18000 games - Mr.Q: 0.4%, Random: 99.6%, Draws: 0.0% , epsilon 0.9048364679541024
After 19000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.899607202222311
After 20000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.8943893752807599
After 21000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8891289007498088
After 22000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8838728498292161
After 23000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8786048171369022
After 24000 games - Mr.Q: 0.0%, Random: 100.0%, Draws: 0.0% , epsilon 0.87345639750182
After 25000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.868340751426586
After 26000 games - Mr.Q: 0.1%, Random: 99.9%, Draws: 0.0% , epsilon 0.8632645624517774
After 27000 games - Mr.Q: 0.2%, Random: 99.8%, Draws: 0.0% , epsilon 0.858072163370998
