Hello from the pygame community. https://www.pygame.org/contribute.html
After 1000 games - Mr.Q: 0.0%, minimax4: 100.1%, Draws: 0.0% , epsilon 0.9944623866442457
After 2000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9889307148608947
After 3000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9832655937132448
After 4000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9776368359342894
After 5000 games - Mr.Q: 0.0%, minimax4: 99.9%, Draws: 0.1% , epsilon 0.9719965594365166
After 6000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9664023529095979
After 7000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9608528341614893
After 8000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9553027023959606
After 9000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9496649642271946
After 10000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9440472805229061
After 11000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9386458460618904
After 12000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9332109224894851
After 13000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9275876036499592
After 14000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.9220046236762711
After 15000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9163938461616845
After 16000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9108636654225617
After 17000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.9053849653058571
After 18000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.899929319417312
After 19000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8943580721847798
After 20000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8888604242295308
After 21000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.8834062879143969
After 22000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.877990008665553
After 23000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8725580726869866
After 24000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.8671753519555944
After 25000 games - Mr.Q: 0.1%, minimax4: 99.8%, Draws: 0.1% , epsilon 0.861725008898306
After 26000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8562429888830678
After 27000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8508741205903863
After 28000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.845440839636367
After 29000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8399809321758781
After 30000 games - Mr.Q: 0.2%, minimax4: 99.8%, Draws: 0.0% , epsilon 0.834554616012279
After 31000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.8292703231307668
After 32000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8239164936642756
After 33000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.818478540857422
After 34000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8131114422829544
After 35000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.8075541988016499
After 36000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.8021520422365105
After 37000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.7968035530440232
After 38000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.7914123720972387
After 39000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.7860781057108692
After 40000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.7807477819394467
After 41000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.7754280130467672
After 42000 games - Mr.Q: 0.0%, minimax4: 100.0%, Draws: 0.0% , epsilon 0.770177608321492
After 43000 games - Mr.Q: 0.0%, minimax4: 99.9%, Draws: 0.1% , epsilon 0.7648931454841745
After 44000 games - Mr.Q: 0.2%, minimax4: 99.8%, Draws: 0.0% , epsilon 0.7597026764665373
After 45000 games - Mr.Q: 0.2%, minimax4: 99.8%, Draws: 0.0% , epsilon 0.7544802775546218
After 46000 games - Mr.Q: 0.3%, minimax4: 99.7%, Draws: 0.0% , epsilon 0.7493372391275738
After 47000 games - Mr.Q: 0.0%, minimax4: 99.9%, Draws: 0.1% , epsilon 0.7441213535914246
After 48000 games - Mr.Q: 0.6%, minimax4: 99.4%, Draws: 0.0% , epsilon 0.7389129559058231
After 49000 games - Mr.Q: 0.4%, minimax4: 99.5%, Draws: 0.1% , epsilon 0.7336647087061096
